Results for model ViT-L-14-quickgelu - dfn2b:
Top-10 Precision: 0.07920585161964469 	 Recall: 0.7920585161964472 	 Accuracy: 0.7920585161964472
Top-11 Precision: 0.07381020233684914 	 Recall: 0.8119122257053292 	 Accuracy: 0.8119122257053292
Top-12 Precision: 0.06861720654824169 	 Recall: 0.8234064785788924 	 Accuracy: 0.8234064785788924
Top-13 Precision: 0.06486616831444542 	 Recall: 0.8432601880877743 	 Accuracy: 0.8432601880877743
Top-14 Precision: 0.06157635467980247 	 Recall: 0.8620689655172413 	 Accuracy: 0.8620689655172413
Top-15 Precision: 0.058028561476838464 	 Recall: 0.8704284221525601 	 Accuracy: 0.8704284221525601
Top-16 Precision: 0.05518547544409613 	 Recall: 0.8829676071055381 	 Accuracy: 0.8829676071055381
Top-17 Precision: 0.05261540352818341 	 Recall: 0.8944618599791013 	 Accuracy: 0.8944618599791013
Top-18 Precision: 0.0508533611981897 	 Recall: 0.9153605015673981 	 Accuracy: 0.9153605015673981
Top-19 Precision: 0.0488918220315688 	 Recall: 0.928944618599791 	 Accuracy: 0.928944618599791
Top-20 Precision: 0.04670846394984284 	 Recall: 0.9341692789968652 	 Accuracy: 0.9341692789968652
Top-21 Precision: 0.04473304473304542 	 Recall: 0.9393939393939394 	 Accuracy: 0.9393939393939394
Top-22 Precision: 0.04303220290681174 	 Recall: 0.9467084639498433 	 Accuracy: 0.9467084639498433
Top-23 Precision: 0.04129753305165585 	 Recall: 0.9498432601880877 	 Accuracy: 0.9498432601880877
Top-24 Precision: 0.03983803552769072 	 Recall: 0.9561128526645768 	 Accuracy: 0.9561128526645768
Top-25 Precision: 0.03836990595611222 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-26 Precision: 0.03713527851458968 	 Recall: 0.9655172413793104 	 Accuracy: 0.9655172413793104
Top-27 Precision: 0.03579859901699022 	 Recall: 0.9665621734587252 	 Accuracy: 0.9665621734587252
Top-28 Precision: 0.03470667263770676 	 Recall: 0.9717868338557993 	 Accuracy: 0.9717868338557993
Top-29 Precision: 0.03361798724462271 	 Recall: 0.9749216300940439 	 Accuracy: 0.9749216300940439
Top-30 Precision: 0.03253221873911603 	 Recall: 0.9759665621734587 	 Accuracy: 0.9759665621734587
Top-31 Precision: 0.03158391478747409 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
Top-32 Precision: 0.03072753396029258 	 Recall: 0.9832810867293625 	 Accuracy: 0.9832810867293625
Top-33 Precision: 0.02982806117602416 	 Recall: 0.9843260188087775 	 Accuracy: 0.9843260188087775
Top-34 Precision: 0.029012231851989086 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-35 Precision: 0.02824302134646953 	 Recall: 0.9885057471264368 	 Accuracy: 0.9885057471264368
Top-36 Precision: 0.027458492975734872 	 Recall: 0.9885057471264368 	 Accuracy: 0.9885057471264368
Top-37 Precision: 0.02677285435906146 	 Recall: 0.9905956112852664 	 Accuracy: 0.9905956112852664
Top-38 Precision: 0.026095803772755242 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-39 Precision: 0.02542668059909431 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-40 Precision: 0.02481713688610211 	 Recall: 0.9926854754440961 	 Accuracy: 0.9926854754440961
Top-41 Precision: 0.024262813161046413 	 Recall: 0.9947753396029259 	 Accuracy: 0.9947753396029259
Top-42 Precision: 0.023685127133403434 	 Recall: 0.9947753396029259 	 Accuracy: 0.9947753396029259
Top-43 Precision: 0.023158610969356303 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-44 Precision: 0.022656027358222093 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-45 Precision: 0.022175780796470382 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-46 Precision: 0.021693698605242704 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-47 Precision: 0.021232130549811903 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-48 Precision: 0.020811563915012148 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model ViT-L-14 - commonpool_xl_s13b_b90k:
Top-1 Precision: 0.2549634273772205 	 Recall: 0.2549634273772205 	 Accuracy: 0.2549634273772205
Top-2 Precision: 0.20689655172413793 	 Recall: 0.41379310344827586 	 Accuracy: 0.41379310344827586
Top-3 Precision: 0.16370602577499138 	 Recall: 0.49111807732497387 	 Accuracy: 0.49111807732497387
Top-4 Precision: 0.14158829676071055 	 Recall: 0.5663531870428422 	 Accuracy: 0.5663531870428422
Top-5 Precision: 0.12204806687565425 	 Recall: 0.6102403343782654 	 Accuracy: 0.6102403343782654
Top-6 Precision: 0.10553814002089935 	 Recall: 0.6332288401253918 	 Accuracy: 0.6332288401253918
Top-7 Precision: 0.0938946111359903 	 Recall: 0.6572622779519331 	 Accuracy: 0.6572622779519331
Top-8 Precision: 0.08477011494252873 	 Recall: 0.6781609195402298 	 Accuracy: 0.6781609195402298
Top-9 Precision: 0.07848600952049345 	 Recall: 0.7063740856844305 	 Accuracy: 0.7063740856844305
Top-10 Precision: 0.07293625914315602 	 Recall: 0.7293625914315569 	 Accuracy: 0.7293625914315569
Top-11 Precision: 0.06811057281276804 	 Recall: 0.7492163009404389 	 Accuracy: 0.7492163009404389
Top-12 Precision: 0.0640020898641595 	 Recall: 0.768025078369906 	 Accuracy: 0.768025078369906
Top-13 Precision: 0.06197251024837343 	 Recall: 0.8056426332288401 	 Accuracy: 0.8056426332288401
Top-14 Precision: 0.05888938647559296 	 Recall: 0.8244514106583072 	 Accuracy: 0.8244514106583072
Top-15 Precision: 0.05600835945663635 	 Recall: 0.8401253918495298 	 Accuracy: 0.8401253918495298
Top-16 Precision: 0.05355276907001045 	 Recall: 0.8568443051201672 	 Accuracy: 0.8568443051201672
Top-17 Precision: 0.05126313848423472 	 Recall: 0.8714733542319749 	 Accuracy: 0.8714733542319749
Top-18 Precision: 0.04916985951468797 	 Recall: 0.8850574712643678 	 Accuracy: 0.8850574712643678
Top-19 Precision: 0.04707693999890087 	 Recall: 0.8944618599791013 	 Accuracy: 0.8944618599791013
Top-20 Precision: 0.045088819226749934 	 Recall: 0.9017763845350052 	 Accuracy: 0.9017763845350052
Top-21 Precision: 0.04343931930138887 	 Recall: 0.9122257053291536 	 Accuracy: 0.9122257053291536
Top-22 Precision: 0.04189227700199553 	 Recall: 0.9216300940438872 	 Accuracy: 0.9216300940438872
Top-23 Precision: 0.040207169142701296 	 Recall: 0.9247648902821317 	 Accuracy: 0.9247648902821317
Top-24 Precision: 0.038706025774991375 	 Recall: 0.928944618599791 	 Accuracy: 0.928944618599791
Top-25 Precision: 0.037366771159873996 	 Recall: 0.9341692789968652 	 Accuracy: 0.9341692789968652
Top-26 Precision: 0.03621091552126113 	 Recall: 0.9414838035527691 	 Accuracy: 0.9414838035527691
Top-27 Precision: 0.035063276442587166 	 Recall: 0.9467084639498433 	 Accuracy: 0.9467084639498433
Top-28 Precision: 0.033997611583818144 	 Recall: 0.9519331243469175 	 Accuracy: 0.9519331243469175
Top-29 Precision: 0.03304147299391107 	 Recall: 0.9582027168234065 	 Accuracy: 0.9582027168234065
Top-30 Precision: 0.03197492163009476 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-31 Precision: 0.031010887518117584 	 Recall: 0.9613375130616509 	 Accuracy: 0.9613375130616509
Top-32 Precision: 0.030074451410658308 	 Recall: 0.9623824451410659 	 Accuracy: 0.9623824451410659
Top-33 Precision: 0.029321427440550284 	 Recall: 0.96760710553814 	 Accuracy: 0.96760710553814
Top-34 Precision: 0.028581965701641777 	 Recall: 0.9717868338557993 	 Accuracy: 0.9717868338557993
Top-35 Precision: 0.02785490371697259 	 Recall: 0.9749216300940439 	 Accuracy: 0.9749216300940439
Top-36 Precision: 0.027168234064786297 	 Recall: 0.9780564263322884 	 Accuracy: 0.9780564263322884
Top-37 Precision: 0.026490440283543925 	 Recall: 0.9801462904911181 	 Accuracy: 0.9801462904911181
Top-38 Precision: 0.025848319859209615 	 Recall: 0.9822361546499477 	 Accuracy: 0.9822361546499477
Top-39 Precision: 0.025239128687404466 	 Recall: 0.9843260188087775 	 Accuracy: 0.9843260188087775
Top-40 Precision: 0.02468652037617526 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-41 Precision: 0.024160868567932776 	 Recall: 0.9905956112852664 	 Accuracy: 0.9905956112852664
Top-42 Precision: 0.023610489127730942 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-43 Precision: 0.023110009477290503 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-44 Precision: 0.02258478198917108 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-45 Precision: 0.022106118657842726 	 Recall: 0.9947753396029259 	 Accuracy: 0.9947753396029259
Top-46 Precision: 0.02164826677570293 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-47 Precision: 0.021187665354943187 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-48 Precision: 0.020789794496691005 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model ViT-L-14 - laion2b_s32b_b82k:
Top-1 Precision: 0.27063740856844304 	 Recall: 0.27063740856844304 	 Accuracy: 0.27063740856844304
Top-2 Precision: 0.22152560083594566 	 Recall: 0.4430512016718913 	 Accuracy: 0.4430512016718913
Top-3 Precision: 0.17380703587600177 	 Recall: 0.5214211076280042 	 Accuracy: 0.5214211076280042
Top-4 Precision: 0.14420062695924765 	 Recall: 0.5768025078369906 	 Accuracy: 0.5768025078369906
Top-5 Precision: 0.12183908045977128 	 Recall: 0.6091954022988506 	 Accuracy: 0.6091954022988506
Top-6 Precision: 0.10762800417972909 	 Recall: 0.64576802507837 	 Accuracy: 0.64576802507837
Top-7 Precision: 0.09568592327212998 	 Recall: 0.6698014629049112 	 Accuracy: 0.6698014629049112
Top-8 Precision: 0.0877742946708464 	 Recall: 0.7021943573667712 	 Accuracy: 0.7021943573667712
Top-9 Precision: 0.08104028793684091 	 Recall: 0.7293625914315569 	 Accuracy: 0.7293625914315569
Top-10 Precision: 0.07617554858934183 	 Recall: 0.7617554858934169 	 Accuracy: 0.7617554858934169
Top-11 Precision: 0.07181533200342075 	 Recall: 0.7899686520376176 	 Accuracy: 0.7899686520376176
Top-12 Precision: 0.06800766283524974 	 Recall: 0.8160919540229885 	 Accuracy: 0.8160919540229885
Top-13 Precision: 0.06486616831444542 	 Recall: 0.8432601880877743 	 Accuracy: 0.8432601880877743
Top-14 Precision: 0.062098820719509874 	 Recall: 0.8693834900731452 	 Accuracy: 0.8693834900731452
Top-15 Precision: 0.05921281783350867 	 Recall: 0.8881922675026124 	 Accuracy: 0.8881922675026124
Top-16 Precision: 0.056230407523510974 	 Recall: 0.8996865203761756 	 Accuracy: 0.8996865203761756
Top-17 Precision: 0.053230069457251 	 Recall: 0.9049111807732497 	 Accuracy: 0.9049111807732497
Top-18 Precision: 0.050621154069430845 	 Recall: 0.9111807732497388 	 Accuracy: 0.9111807732497388
Top-19 Precision: 0.0481768685035481 	 Recall: 0.9153605015673981 	 Accuracy: 0.9153605015673981
Top-20 Precision: 0.0459770114942525 	 Recall: 0.9195402298850575 	 Accuracy: 0.9195402298850575
Top-21 Precision: 0.044086182017217146 	 Recall: 0.9258098223615465 	 Accuracy: 0.9258098223615465
Top-22 Precision: 0.04217725847819958 	 Recall: 0.9278996865203761 	 Accuracy: 0.9278996865203761
