Results for model ViTamin-XL-384 - datacomp1b:
Top-11 Precision: 0.06307590006649641 	 Recall: 0.6938349007314525 	 Accuracy: 0.6938349007314525
Top-12 Precision: 0.05938697318007717 	 Recall: 0.7126436781609196 	 Accuracy: 0.7126436781609196
Top-13 Precision: 0.05634595289767791 	 Recall: 0.7324973876698014 	 Accuracy: 0.7324973876698014
Top-14 Precision: 0.053515450067173946 	 Recall: 0.7492163009404389 	 Accuracy: 0.7492163009404389
Top-15 Precision: 0.05127133402995551 	 Recall: 0.7690700104493208 	 Accuracy: 0.7690700104493208
Top-16 Precision: 0.04969958202716823 	 Recall: 0.7951933124346917 	 Accuracy: 0.7951933124346917
Top-17 Precision: 0.048189808838896786 	 Recall: 0.819226750261233 	 Accuracy: 0.819226750261233
Top-18 Precision: 0.04649947753396109 	 Recall: 0.8369905956112853 	 Accuracy: 0.8369905956112853
Top-19 Precision: 0.044382115162515154 	 Recall: 0.8432601880877743 	 Accuracy: 0.8432601880877743
Top-20 Precision: 0.04273772204806668 	 Recall: 0.8547544409613375 	 Accuracy: 0.8547544409613375
Top-21 Precision: 0.041150420460765724 	 Recall: 0.864158829676071 	 Accuracy: 0.864158829676071
Top-22 Precision: 0.03989740666856714 	 Recall: 0.877742946708464 	 Accuracy: 0.877742946708464
Top-23 Precision: 0.0385261914497297 	 Recall: 0.8861024033437827 	 Accuracy: 0.8861024033437827
Top-24 Precision: 0.03757401602229203 	 Recall: 0.9017763845350052 	 Accuracy: 0.9017763845350052
Top-25 Precision: 0.036280041797282586 	 Recall: 0.9070010449320794 	 Accuracy: 0.9070010449320794
Top-26 Precision: 0.03496503496503569 	 Recall: 0.9090909090909091 	 Accuracy: 0.9090909090909091
Top-27 Precision: 0.0340183443631723 	 Recall: 0.9184952978056427 	 Accuracy: 0.9184952978056427
Top-28 Precision: 0.03295267950440334 	 Recall: 0.922675026123302 	 Accuracy: 0.922675026123302
Top-29 Precision: 0.03210463733650464 	 Recall: 0.9310344827586207 	 Accuracy: 0.9310344827586207
Top-30 Precision: 0.03124346917450433 	 Recall: 0.9373040752351097 	 Accuracy: 0.9373040752351097
Top-31 Precision: 0.030606397680924755 	 Recall: 0.9487983281086729 	 Accuracy: 0.9487983281086729
Top-32 Precision: 0.029813218390804596 	 Recall: 0.9540229885057471 	 Accuracy: 0.9540229885057471
Top-33 Precision: 0.02906811057281335 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-34 Precision: 0.028305366033561364 	 Recall: 0.9623824451410659 	 Accuracy: 0.9623824451410659
Top-35 Precision: 0.02761606209882063 	 Recall: 0.9665621734587252 	 Accuracy: 0.9665621734587252
Top-36 Precision: 0.02705213050040687 	 Recall: 0.9738766980146291 	 Accuracy: 0.9738766980146291
Top-37 Precision: 0.026405716060888665 	 Recall: 0.9770114942528736 	 Accuracy: 0.9770114942528736
Top-38 Precision: 0.025765825221361074 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
Top-39 Precision: 0.025105163036197437 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
Top-40 Precision: 0.024503657262277677 	 Recall: 0.9801462904911181 	 Accuracy: 0.9801462904911181
Top-41 Precision: 0.023982465529983905 	 Recall: 0.9832810867293625 	 Accuracy: 0.9832810867293625
Top-42 Precision: 0.023461213116385955 	 Recall: 0.9853709508881923 	 Accuracy: 0.9853709508881923
Top-43 Precision: 0.0230371072391918 	 Recall: 0.9905956112852664 	 Accuracy: 0.9905956112852664
Top-44 Precision: 0.022608530445521417 	 Recall: 0.9947753396029259 	 Accuracy: 0.9947753396029259
Top-45 Precision: 0.022152560083594494 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-46 Precision: 0.021693698605242704 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
